package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
azps@2.6.0,1,0,1,63,0,0,4,4,0,1,1,1,0,0,1.0,0,0,1
k8s-deploy-action@1.1.0,3,23,1,0,0,0,0,17,0,1,1,1,0,0,1.0,0,0,1
epic-node-ecom-services@1.0.0,0,0,1,0,0,1,0,23,0,0,0,1,0,0,1.0,0,0,1
auth0-mcp-server@1.0.2,4,1,1,3,0,1,1,16,0,0,0,1,0,0,1.0,0,0,1
parabol-client@9.1.1,0,0,1,0,0,1,1,14,0,1,1,1,0,0,1.0,0,0,1
mongodb-ci@3.1.2,4,3,1,38,0,1,17,10,0,0,0,1,0,0,1.0,0,0,1
redux-probe-unknown-action-rce@1.0.0,0,0,1,57,0,1,1,30,0,1,1,1,0,0,1.0,0,0,1
cloudsplaining@2.2.2,0,0,1,0,0,1,0,14,0,1,1,1,0,0,1.0,0,0,1
intercom-intercom-embed@10.0.0,0,0,1,45,0,1,0,23,0,1,1,1,0,0,1.0,0,0,1
redis_mktg@1.0.0,0,0,1,0,0,1,1,10,0,1,1,1,0,0,1.0,0,0,1
chai-pack@5.1.0,4,1,1,114,0,1,17,9,0,0,0,1,0,0,1.0,0,0,1
escapes@1.0.0,0,0,1,42,0,1,1,7,0,1,1,1,0,0,1.0,0,0,1
swissid-common@0.0.1,0,0,0,0,0,0,1,14,0,0,0,1,0,0,1.0,0,0,1
redirect-x2giv7@1.0.0,0,0,0,0,0,0,2,15,0,0,0,1,0,0,1.0,0,0,1
bcryptutils@1.1.1,7,1,1,0,0,1,0,11,0,0,0,1,0,0,1.0,0,0,1
bcryptutils@1.1.8,2,2,1,0,0,1,2,11,0,0,0,1,0,0,1.0,0,0,1
